
Alabama; 01111; Randolph County; 16,878; 34,379; 45,273; 57,414; 26,680; 32,844; 35,843
Alabama; 01113; Russell County; 18,478; 36,346; 47,246; 60,804; 28,708; 34,817; 37,800
Alabama; 01117; Shelby County; 19,140; 37,461; 48,364; 61,590; 29,947; 35,936; 38,909
Alabama; 01115; St. Clair County; 19,140; 37,461; 48,364; 61,590; 29,947; 35,936; 38,909
Alabama; 01119; Sumter County; 15,539; 34,379; 45,273; 58,247; 26,834; 32,844; 35,843
Alabama; 01121; Talladega County; 17,001; 34,519; 45,412; 58,539; 26,788; 32,984; 35,981
Alabama; 01123; Tallapoosa County; 16,616; 34,410; 45,304; 58,909; 26,540; 32,875; 35,873
Alabama; 01125; Tuscaloosa County; 17,447; 37,275; 48,178; 61,529; 28,383; 35,749; 38,724
Alabama; 01127; Walker County; 17,647; 35,309; 46,205; 58,678; 27,438; 33,776; 36,767
Alabama; 01129; Washington County; 16,847; 34,379; 45,273; 57,692; 27,005; 32,844; 35,843
Alabama; 01131; Wilcox County; 16,847; 34,379; 45,273; 57,692; 27,005; 32,844; 35,843
Alabama; 01133; Winston County; 15,524; 34,379; 45,273; 57,106; 26,045; 32,844; 35,843
Alaska; 02013; Aleutians East Borough; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Alaska; 02016; Aleutians West Census Area; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Alaska; 02020; Anchorage Municipality; 19,467; 40,416; 48,813; 63,275; 30,002; 36,962; 39,713
Alaska; 02050; Bethel Census Area; 22,565; 46,165; 54,581; 66,394; 35,142; 42,731; 45,433
Alaska; 02060; Bristol Bay Borough; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Alaska; 02068; Denali Borough; 18,921; 40,802; 49,200; 63,260; 30,374; 37,350; 40,097
Alaska; 02070; Dillingham Census Area; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Alaska; 02090; Fairbanks North Star Borough; 18,434; 40,015; 48,410; 62,816; 29,453; 36,559; 39,313
Alaska; 02100; Haines Borough; 18,921; 40,802; 49,200; 63,260; 30,374; 37,350; 40,097
Alaska; 02110; Juneau City and Borough; 21,060; 44,130; 52,539; 66,911; 32,914; 40,689; 43,408
Alaska; 02122; Kenai Peninsula Borough; 17,873; 37,801; 46,189; 58,633; 28,234; 34,338; 37,111
Alaska; 02130; Ketchikan Gateway Borough; 19,614; 41,798; 50,199; 65,536; 31,681; 38,348; 41,087
Alaska; 02150; Kodiak Island Borough; 20,381; 43,075; 51,481; 67,029; 31,458; 39,630; 42,358
Alaska; 02164; Lake and Peninsula Borough; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Alaska; 02180; Nome Census Area; 20,854; 43,001; 51,406; 62,816; 33,389; 39,556; 42,285
Alaska; 02185; North Slope Borough; 21,208; 44,293; 52,703; 64,162; 32,394; 40,853; 43,571
Alaska; 02188; Northwest Arctic Borough; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Alaska; 02220; Sitka City and Borough; 20,308; 41,040; 49,439; 64,428; 31,146; 37,588; 40,333
Alaska; 02240; Southeast Fairbanks Census Area; 18,921; 40,802; 49,200; 63,260; 30,374; 37,350; 40,097
Alaska; 02270; Wade Hampton Census Area; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Alaska; 02282; Yakutat City and Borough; 20,824; 42,540; 50,944; 62,772; 31,547; 39,094; 41,826
Arizona; 04001; Apache County; 15,769; 36,849; 48,404; 62,999; 26,648; 33,324; 36,207
Arizona; 04003; Cochise County; 16,913; 38,568; 50,130; 65,306; 27,554; 35,050; 37,918
Arizona; 04005; Coconino County; 21,670; 44,140; 55,721; 71,354; 33,479; 40,641; 43,463
Arizona; 04007; Gila County; 17,614; 40,333; 51,901; 67,627; 28,475; 36,821; 39,675
Arizona; 04009; Graham County; 17,949; 37,893; 49,452; 64,374; 28,045; 34,372; 37,246
Arizona; 04011; Greenlee County; 17,187; 38,491; 50,053; 65,122; 27,492; 34,973; 37,842
Arizona; 04012; La Paz County; 18,178; 38,123; 49,683; 65,061; 27,600; 34,603; 37,475
Arizona; 04013; Maricopa County; 19,139; 41,331; 52,902; 70,148; 30,209; 37,822; 40,668
Arizona; 04015; Mohave County; 18,544; 39,320; 50,884; 66,360; 28,889; 35,804; 38,667
Arizona; 04017; Navajo County; 17,035; 38,399; 49,960; 64,695; 26,986; 34,880; 37,750
Arizona; 04019; Pima County; 17,400; 39,735; 51,300; 67,643; 28,260; 36,220; 39,079
Arizona; 04021; Pinal County; 19,139; 41,331; 52,902; 70,148; 30,209; 37,822; 40,668
Arizona; 04023; Santa Cruz County; 18,422; 39,044; 50,607; 66,864; 27,845; 35,527; 38,392
Arizona; 04025; Yavapai County; 19,581; 40,901; 52,471; 69,537; 29,350; 37,391; 40,240
Arizona; 04027; Yuma County; 17,919; 39,658; 51,223; 67,261; 28,920; 36,143; 39,003
Arkansas; 05001; Arkansas County; 15,524; 32,909; 42,145; 54,263; 25,374; 32,222; 35,169
Arkansas; 05003; Ashley County; 15,630; 33,350; 42,588; 52,809; 25,374; 32,664; 35,608
Arkansas; 05005; Baxter County; 15,539; 33,502; 42,740; 54,217; 26,043; 32,817; 35,759
Arkansas; 05007; Benton County; 17,096; 35,039; 44,282; 57,382; 27,048; 34,359; 37,289
Arkansas; 05009; Boone County; 16,159; 33,046; 42,282; 53,097; 25,708; 32,359; 35,305
